"Date","Price","Open","High","Low","Change %"
"Jan 16","3.9988","3.9608","4.1738","3.9590","0.96%"
"Dec 15","3.9608","3.8687","4.0424","3.7165","2.37%"
"Nov 15","3.8690","3.8562","3.9243","3.6937","0.33%"
"Oct 15","3.8564","3.9508","4.0457","3.7227","-2.35%"
"Sep 15","3.9491","3.6199","4.2495","3.6195","9.11%"
"Aug 15","3.6193","3.4218","3.6838","3.4202","5.79%"
"Jul 15","3.4212","3.1030","3.4355","3.0933","10.25%"
"Jun 15","3.1030","3.1791","3.2149","3.0302","-2.42%"
"May 15","3.1798","3.0147","3.1973","2.9709","5.48%"
"Apr 15","3.0145","3.1943","3.1943","2.8818","-5.67%"
"Mar 15","3.1958","2.8391","3.3173","2.8391","12.57%"
"Feb 15","2.8390","2.6824","2.9214","2.6660","5.84%"
"Jan 15","2.6824","2.6580","2.7314","2.5499","0.94%"
"Dec 14","2.6575","2.5656","2.7605","2.5435","3.57%"
"Nov 14","2.5659","2.4787","2.6296","2.4539","3.53%"
"Oct 14","2.4783","2.4437","2.5595","2.3560","1.31%"
"Sep 14","2.4462","2.2371","2.4791","2.2260","9.40%"
"Aug 14","2.2360","2.2630","2.3079","2.2331","-1.23%"
"Jul 14","2.2639","2.2148","2.2751","2.1990","2.24%"
"Jun 14","2.2143","2.2412","2.2918","2.1871","-1.18%"
"May 14","2.2408","2.2335","2.2492","2.1994","0.35%"
"Apr 14","2.2330","2.2726","2.2893","2.1819","-1.72%"
"Mar 14","2.2721","2.3388","2.3768","2.2481","-2.84%"
"Feb 14","2.3384","2.4124","2.4402","2.3178","-3.08%"
"Jan 14","2.4127","2.3780","2.4506","2.3275","2.14%"
"Dec 13","2.3621","2.3363","2.3960","2.3043","1.13%"
"Nov 13","2.3358","2.2350","2.3487","2.2350","4.27%"
"Oct 13","2.2401","2.2164","2.2417","2.1471","1.08%"
"Sep 13","2.2162","2.3827","2.4041","2.1796","-7.12%"
"Aug 13","2.3862","2.2765","2.4554","2.2629","4.79%"
"Jul 13","2.2771","2.2292","2.3030","2.2067","2.02%"
"Jun 13","2.2321","2.1438","2.2775","2.0842","4.19%"
"May 13","2.1423","2.0015","2.1507","1.9945","7.02%"
"Apr 13","2.0017","2.0182","2.0302","1.9637","-1.11%"
"Mar 13","2.0242","1.9760","2.0276","1.9412","2.22%"
"Feb 13","1.9803","1.9909","1.9975","1.9498","-0.53%"
"Jan 13","1.9908","2.0333","2.0507","1.9811","-2.82%"
"Dec 12","2.0485","2.1360","2.1392","2.0390","-4.10%"
"Nov 12","2.1361","2.0317","2.1377","2.0303","5.18%"
"Oct 12","2.0309","2.0286","2.0439","2.0157","0.26%"
"Sep 12","2.0257","2.0297","2.0450","2.0060","-0.18%"
"Aug 12","2.0293","2.0571","2.0575","2.0060","-1.33%"
"Jul 12","2.0567","2.0056","2.0567","1.9779","2.35%"
"Jun 12","2.0095","2.0224","2.0991","2.0042","-0.65%"
"May 12","2.0226","1.9042","2.1065","1.9042","5.96%"
"Apr 12","1.9088","1.8266","1.9123","1.8155","4.51%"
"Mar 12","1.8264","1.7174","1.8375","1.7098","6.35%"
"Feb 12","1.7174","1.7498","1.7498","1.6867","-1.71%"
"Jan 12","1.7472","1.8665","1.8754","1.7321","-6.23%"
"Dec 11","1.8632","1.8083","1.8884","1.7755","3.04%"
"Nov 11","1.8083","1.7172","1.9140","1.7130","5.31%"
"Oct 11","1.7172","1.8777","1.9175","1.6711","-8.61%"
"Sep 11","1.8790","1.5892","1.9498","1.5886","18.24%"
"Aug 11","1.5892","1.5501","1.6585","1.5450","2.60%"
"Jul 11","1.5490","1.5621","1.5854","1.5280","-0.84%"
"Jun 11","1.5622","1.5788","1.6163","1.5573","-1.13%"
"May 11","1.5800","1.5770","1.6457","1.5685","0.16%"
"Apr 11","1.5775","1.6318","1.6318","1.5565","-3.34%"
"Mar 11","1.6320","1.6640","1.6932","1.6205","-1.91%"
"Feb 11","1.6638","1.6672","1.6806","1.6553","-0.22%"
"Jan 11","1.6675","1.6598","1.6967","1.6433","0.48%"
"Dec 10","1.6595","1.7138","1.7220","1.6593","-3.24%"
"Nov 10","1.7150","1.7012","1.7428","1.6685","0.81%"
"Oct 10","1.7012","1.6876","1.7252","1.6433","0.81%"
"Sep 10","1.6876","1.7549","1.7593","1.6855","-3.84%"
"Aug 10","1.7550","1.7541","1.7822","1.7431","0.06%"
"Jul 10","1.7540","1.8052","1.8138","1.7495","-2.77%"
"Jun 10","1.8039","1.8194","1.8824","1.7487","-0.89%"
"May 10","1.8201","1.7372","1.9160","1.7252","4.75%"
"Apr 10","1.7375","1.7832","1.7932","1.7225","-2.59%"
"Mar 10","1.7837","1.8058","1.8302","1.7563","-1.30%"
"Feb 10","1.8072","1.8685","1.8980","1.7874","-4.13%"
"Jan 10","1.8850","1.7291","1.8971","1.7138","8.15%"
"Dec 09","1.7430","1.7497","1.8011","1.6995","-0.71%"
"Nov 09","1.7555","1.7635","1.7805","1.6930","-0.45%"
"Oct 09","1.7635","1.7720","1.8074","1.6970","-0.45%"
"Sep 09","1.7715","1.8790","1.9217","1.7588","-5.78%"
"Aug 09","1.8802","1.8655","1.9052","1.8071","0.82%"
"Jul 09","1.8650","1.9525","2.0280","1.8610","-4.48%"
"Jun 09","1.9525","1.9715","2.0383","1.9083","-0.96%"
"May 09","1.9715","2.1898","2.1898","1.9650","-9.97%"
"Apr 09","2.1898","2.3170","2.3175","2.1585","-5.49%"
"Mar 09","2.3169","2.3905","2.4505","2.2150","-3.12%"
"Feb 09","2.3914","2.3222","2.4085","2.2277","3.08%"
"Jan 09","2.3200","2.3317","2.4010","2.1585","0.24%"
"Dec 08","2.3145","2.3045","2.6218","2.2834","0.48%"
"Nov 08","2.3034","2.1647","2.4787","2.0877","6.43%"
"Oct 08","2.1642","1.9035","2.5305","1.8951","13.51%"
"Sep 08","1.9066","1.6422","1.9687","1.6398","16.97%"
"Aug 08","1.6300","1.5610","1.6493","1.5551","4.02%"
"Jul 08","1.5670","1.6039","1.6211","1.5604","-2.31%"
"Jun 08","1.6041","1.6260","1.6522","1.5880","-1.38%"
"May 08","1.6265","1.6617","1.7055","1.6241","-2.15%"
"Apr 08","1.6622","1.7559","1.7605","1.6471","-5.36%"
"Mar 08","1.7564","1.6910","1.7651","1.6590","3.84%"
"Feb 08","1.6914","1.7590","1.7820","1.6612","-3.83%"
"Jan 08","1.7588","1.7795","1.8407","1.7285","-1.19%"
"Dec 07","1.7800","1.7901","1.8320","1.7500","-1.01%"
"Nov 07","1.7982","1.7368","1.8723","1.7247","3.54%"
"Oct 07","1.7368","1.8325","1.8480","1.7292","-5.25%"
"Sep 07","1.8330","1.9610","1.9765","1.8300","-6.86%"
"Aug 07","1.9681","1.8823","2.1396","1.8655","4.57%"
"Jul 07","1.8820","1.9260","1.9440","1.8365","-2.44%"
"Jun 07","1.9290","1.9287","1.9910","1.8945","0.44%"
"May 07","1.9205","2.0350","2.0365","1.9165","-5.62%"
"Apr 07","2.0348","2.0600","2.0600","2.0130","-1.18%"
"Mar 07","2.0590","2.1175","2.1520","2.0247","-2.90%"
"Feb 07","2.1204","2.1238","2.1500","2.0638","-0.17%"
"Jan 07","2.1240","2.1367","2.1627","2.1212","-0.59%"
"Dec 06","2.1365","2.1645","2.1745","2.1302","-1.32%"
"Nov 06","2.1650","2.1430","2.2040","2.1307","1.04%"
"Oct 06","2.1428","2.1680","2.1800","2.1220","-1.45%"
"Sep 06","2.1743","2.1520","2.2370","2.1217","1.44%"
"Aug 06","2.1434","2.1756","2.1985","2.1215","-1.57%"
"Jul 06","2.1775","2.1605","2.2256","2.1545","0.54%"
"Jun 06","2.1659","2.3215","2.3355","2.1535","-6.04%"
"May 06","2.3051","2.0870","2.4045","2.0500","10.45%"
"Apr 06","2.0870","2.1658","2.1765","2.0830","-3.56%"
"Mar 06","2.1640","2.1315","2.2458","2.0965","1.91%"
"Feb 06","2.1235","2.2120","2.2405","2.1015","-4.00%"
"Jan 06","2.2120","2.3335","2.3540","2.1960","-5.40%"
"Dec 05","2.3383","2.2039","2.4005","2.1585","6.12%"
"Nov 05","2.2035","2.2505","2.2685","2.1525","-2.14%"
"Oct 05","2.2518","2.2355","2.3045","2.2215","1.09%"
"Sep 05","2.2275","2.3550","2.3735","2.2060","-5.43%"
"Aug 05","2.3555","2.3850","2.4590","2.2629","-1.03%"
"Jul 05","2.3800","2.3364","2.5127","2.3210","1.87%"
"Jun 05","2.3364","2.3992","2.5060","2.3310","-3.03%"
"May 05","2.4095","2.5282","2.5300","2.3630","-4.70%"
"Apr 05","2.5282","2.6660","2.6775","2.5060","-5.66%"
"Mar 05","2.6800","2.5980","2.7858","2.5870","3.49%"
"Feb 05","2.5895","2.6085","2.6525","2.5490","-0.74%"
"Jan 05","2.6088","2.6610","2.7340","2.6055","-1.78%"
"Dec 04","2.6560","2.7170","2.8050","2.6460","-2.35%"
"Nov 04","2.7200","2.8580","2.8730","2.7140","-4.87%"
"Oct 04","2.8592","2.8600","2.8950","2.8050","-0.01%"
"Sep 04","2.8595","2.9295","2.9435","2.8465","-2.31%"
"Aug 04","2.9270","3.0360","3.0780","2.9220","-3.64%"
"Jul 04","3.0375","3.0865","3.0875","2.9885","-1.57%"
"Jun 04","3.0860","3.1850","3.1710","3.0860","-3.23%"
"May 04","3.1890","2.9330","3.2340","2.9420","8.80%"
